à	7
aboulasses	a b " a u l a s e
aboulassiez	a b " a u l a s s i e z
aboulassions	a b " a u l a s s i o* s
aboulât	a b " a u l o t
aboulâtes	a b " a u l a t i m 3 s
aboule	a b " a u l e
aboulé	a b " a u l e
aboulée	a b " a u l a j
aboulées	a b " a u l e m 3 s
aboulent	a b " a u l e n t
abouler	a b " a u l e r
aboulera	a b " a u l e r a
aboulerai	a b " a u l e r a i n
abouleraient	a b " a u l e r a i n
aboulerais	a b " a u l e r a i s
aboulerait	a b " a u l e r a i t
abouleras	a b " a u l a a s
aboulèrent	a b " a u l e r e n t
aboulerez	a b " a u l e r a
abouleriez	a b " a u l e r i
aboulerions	a b " a u l e r i o* s
aboulerons	a b " a u l e r o* s
abouleront	a b " a u l e r o n s
aboules	a b " a u l e
aboulés	a b " a u l e
aboulez	a b " a u l e z
aboulie	a b o l i e
aboulies	a b o l i e
abouliez	a b o l i e z
aboulions	a b o l i o* s
aboulons	a b " a u l o* s
about	a b " a u t
abouti	a b " a u t i
aboutie	a b " a u t i e
abouties	a b " a u t i e
aboutîmes	a b " a u t 3 8 i m 3 s
aboutir	a b " a u t i r
aboutira	a b " a u t i r a
aboutirai	a b " a u t i r a i
aboutiraient	a b " a u t i r a
aboutirais	a b " a u t i r a i s
aboutirait	a b " a u t i r a i t
aboutiras	a b " a u t i a s
aboutirent	a b " a u t i r e n t
aboutirez	a b " a u t i r e z
aboutiriez	a b " a u t i r i
aboutirions	a b " a u t i r i o* s
aboutirons	a b " a u t i r o* s
aboutiront	a b " a u t i r o n s
aboutis	a b " a u t i s
aboutissaient	a b " a u t i s s e i e n t
aboutissais	a b " a u t i s s e i s
aboutissait	a b " a u t i 7 a i t
aboutissant	a b " a u t i 7 i
aboutissants	a b " a u t i s s a n c
aboutisse	a b " a u t i s s e
aboutissement	a b " a u t i 7 E m E n t
aboutissements	a b " a u t i 7 E m E nt~ u
aboutissent	a b " a u t i s o n t
aboutisses	a b " a u t i s e
aboutissez	a b " a u t i s e z
aboutissiez	a b " a u t i s s i e z
aboutissions	a b " a u t i s s i o* s
aboutissons	a b " a u t i 7 o* s
aboutit	a b " a u t i
aboutît	a b " a u t 3
aboutîtes	a b " a u t i S t i m 3 s
abouts	a b " a u c
aboya	a b " a y a
aboyai	a b o y a i
aboyaient	a b o y a
aboyais	a b o y a i s
aboyait	a b o y a i t
aboyâmes	a b " a y  m 3 s
aboyant	a b o y a nt~
aboyas	a b o y a s
aboyasse	a b o y a s s e
aboyassent	a b o y a s o n t
aboyasses	a b o y a s e
aboyassiez	a b o y a s s i e z
aboyassions	a b o y a s s i o* s
aboyât	a b " a y o t
aboyâtes	a b " a y a t i m 3 s
aboyé	a b " a y e
aboyée	a b " a y a j
aboyées	a b " a y e m 3 s
aboyer	a b " a w u r
aboyèrent	a b " a y e r e n t
aboyés	a b " a y e
aboyez	a b " a d w a
aboyiez	a b " a i e z
aboyions	a b " a i o* s
aboyons	a b " a y o* s
abracadabra	a b " r a k a d a b r a
abracadabrant	a b " r a k a d a b r i
abracadabrante	a b " r a k a d a b r a n t e
abracadabrantes	a b " r a k a d a b r a nt~ m 3 s
abracadabrants	a b " r a k a d a b r a n c
Abraham	b r a h a m
abrasif	a b " r a s i f
abrasifs	a b " r E s i b u Ng~
abrasion	a b " d a C e o n
abrasions	a b " d a C e o* s
abrasive	a b " r a s i v E
abrasives	a b " r E s i b E m 3 s
abrège	a b " r e g e
abrégé	a b " r e g e
abrégea	a b " r e g e a
abrégeai	a b " r e  a i
abrégeaient	a b " r e  a
abrégeais	a b " r e  a i s
abrégeait	a b " r e  a i t
abrégeâmes	a b " r e   m 3 s
abrégeant	a b " r e  i
abrégeas	a b " r e  3 s
abrégeasse	a b " r e  a s s e
abrégeassent	a b " r e  n i o n t
abrégeasses	a b " r e  n i e
abrégeassiez	a b " r e  n i i e z
abrégeassions	a b " r e  n i i o* s
abrégeât	a b " r e  o t
abrégeâtes	a b " r e  a t i m 3 s
abrégée	a b " r e g a j
abrégées	a b " r e g e m 3 s
abrègent	a b " r e g e n t
abrégeons	a b " r e  o* s
abréger	a b " r e g e r
abrègera	a b " r e g e r a
abrègerai	a b " r e g e r a i n
abrègeraient	a b " r e g e r a i n
abrègerais	a b " r e g e r a i s
abrègerait	a b " r e g e r a i t
abrègeras	a b " r e  a s
abrégèrent	a b " r e g e r e n t
abrègerez	a b " r e g e r a
abrègeriez	a b " r e g e r i
abrègerions	a b " r e g e r i o* s
abrègerons	a b " r e g e r o* s
abrègeront	a b " r e g e r o n s
abrèges	a b " r e g e
abrégés	a b " r e g e
abrégez	a b " r e g e z
abrégiez	a b " r e i e z
abrégions	a b " r e i o* s
abreuva	a b " r e u b a
abreuvai	a b " r e u w a i
abreuvaient	a b " r e u n a i n
abreuvais	a b " r e u b a i s
abreuvait	a b " r e u b a i t
abreuvâmes	a b " a v i s  m 3 s
abreuvant	a b " a v i s i
abreuvas	a b " r e u b a s
abreuvasse	a b " r e u b E s s e
abreuvassent	a b " r e u b E s o n t
abreuvasses	a b " r e u b E s e
abreuvassiez	a b " r e u b E s s i e z
abreuvassions	a b " r e u b E s s i o* s
abreuvât	a b " a v i s o t
abreuvâtes	a b " a v i s a t i m 3 s
abreuve	a b " r e u b e
abreuvé	a b " r e u v e
abreuvée	a b " r e u v e e
abreuvées	a b " r e u v e m 3 s
abreuvent	a b " r e u b e n t
abreuver	a b " r e u b e r
abreuvera	a b " r e u e r a
abreuverai	a b " r e u b e r a i n
abreuveraient	a b " r e u b e r a i n
abreuverais	a b " r e u e r a i s
abreuverait	a b " r e u e r a i t
abreuveras	a b " r e u e r 3 s
abreuvèrent	a b " a v i s e r e n t
abreuverez	a b " r e u b e r a
abreuveriez	a b " r e u e r i
abreuverions	a b " r e u b e r i o* s
abreuverons	a b " r e u e r o* s
abreuveront	a b " r e u e r o n s
abreuves	a b " r e u b e
abreuvés	a b " r e u v e
abreuvez	a b " r e u p e m u
abreuviez	a b " r e u v i e z
abreuvions	a b " r e u i o* s
abreuvoir	a b " r e u v o i r
abreuvoirs	a b " r e u v o i r
abreuvons	a b " a v i s o* s
abréviation	a b " r e i a t i o n 3
abréviations	a b " r e i a t i o* s
abri	a b " r i
Abribus	b r i b u s
abricot	a b " i cy~ o t o
abricotier	a b " i cy~ o t i E r
abricotiers	a b " i cy~ o t i E r
abricots	a b " i cy~ a 7 a
abris	a b " r i s
abrita	a b " r i t a
abritai	a b " r i t a i
abritaient	a b " r i t 3
abritais	a b " r i t a i s
abritait	a b " r i t a i t
abritâmes	a b " r s  8 i m 3 s
abritant	a b " r a m i
abritas	a b " r i t a s
abritasse	a b " r i t a s s e
abritassent	a b " r e n i o n t
abritasses	a b " r e n i e
abritassiez	a b " r e n i i e z
abritassions	a b " r e n i i o* s
abritât	a b " r s
abritâtes	a b " r s  t e
abrite	a b " r i t e
abrité	a b " r e
abritée	a b " r i t E e
abritées	a b " r e  m 3 s
abritent	a b " r e
abriter	a b " r i t e r e n
abritera	a b " r i t E r a
abriterai	a b " r i t e r a i n
abriteraient	a b " r i t e r a i n
abriterais	a b " r i t E r a i s
abriterait	a b " r i t E r a i t
abriteras	a b " r e  a s
abritèrent	a b " r i t 3 7 r e n t
abriterez	a b " r i t e r a
abriteriez	a b " r i t E r i
abriterions	a b " r i t E r i o* s
abriterons	a b " r i t u r xy~ E o* s
abriteront	a b " r i t E r o n s
abrites	a b " r i t e
abrités	a b " r e
abritez	a b " r i t e z
abritiez	a b " r i t i e z
abritions	a b " r i t i o* s
abritons	a b " r e o* s
abrivent	a b " Ng~ e r e a 5 a
abrivents	a b " Ng~ e r e c
abrogation	a b " r o g a t i o n 3
abrogations	a b " r o g a t i o* s
abroge	a b " r o g e
abrogé	a b " r o g o e
abrogea	a b " r o g e a
abrogeai	a b " r o g e a i
abrogeaient	a b " r o g e a
abrogeais	a b " r o g e a i s
abrogeait	a b " r o g e a i t
abrogeâmes	a b " r o g e  m 3 s
abrogeant	a b " r o g e i
abrogeas	a b " r o g e 3 s
abrogeasse	a b " r o g a s d s e
abrogeassent	a b " r o g e n i o n t
abrogeasses	a b " r o g e n i e
abrogeassiez	a b " r o g e n i i e z
abrogeassions	a b " r o g e n i i o* s
abrogeât	a b " r o g e o t
abrogeâtes	a b " r o g e a t i m 3 s
abrogée	a b " r o g o a j
abrogées	a b " r o g o e m 3 s
abrogent	a b " r o g e n t
abrogeons	a b " r o g e o* s
abroger	a b " r o g e r
abrogera	a b " r o g e r a
abrogerai	a b " r o g e r a i n
abrogeraient	a b " r o g e r a i n
abrogerais	a b " r o g e r a i s
abrogerait	a b " r o g e r a i t
abrogeras	a b " r o g a a s
abrogèrent	a b " r o g o e r e n t
abrogerez	a b " r o g e r a
abrogeriez	a b " r o g e r i
abrogerions	a b " r o g e r i o* s
abrogerons	a b " r o g e r o* s
abrogeront	a b " r o g e r o n s
abroges	a b " r o g e
abrogés	a b " r o g o e
abrogez	a b " r o g e z
abrogiez	a b " r o g i e z
abrogions	a b " r o g i o* s
abrupt	a b " a m
abruptement	a b " a m t E m E n t
abrupts	a b " a m c
abruti	a b r u t i
abrutie	a b r u t i e
abruties	a b r u t i e
abrutîmes	a b r u t 3 8 i m 3 s
abrutir	a b r u t i r
abrutira	a b r u t i r a
abrutirai	a b r u t i r a i
abrutiraient	a b r u t i r a
abrutirais	a b r u t i r a i s
abrutirait	a b r u t i r a i t
abrutiras	a b r u t i a s
abrutirent	a b r u t i r e n t
abrutirez	a b r u t i r e z
abrutiriez	a b r u t i r i
abrutirions	a b r u t i r i o* s
abrutirons	a b r u t i r o* s
abrutiront	a b r u t i r o n s
abrutis	a b r u t i s
abrutissaient	a b r u t i s s e i e n t
abrutissais	a b r u t i s s e i s
abrutissait	a b r u t i 7 a i t
abrutissant	a b r u t i 7 i
abrutissante	a b r u t i s s a n t e
abrutissantes	a b r u t i s s a n t e
abrutissants	a b r u t i s s a n c
abrutisse	a b r u t i s s e
abrutissement	a b r u t i 7 E m E n t
abrutissements	a b r u t i 7 E m E nt~ u
abrutissent	a b r u t i s o n t
abrutisses	a b r u t i s e
abrutissez	a b r u t i s e z
abrutissiez	a b r u t i s s i e z
abrutissions	a b r u t i s s i o* s
abrutissons	a b r u t i 7 o* s
abrutit	a b r u t i
abrutît	a b r u t 3
abrutîtes	a b r u t u i S t i m 3 s
Abruzzes	b r u z 8
abscisse	a b " S e s e
abscisses	a b " S e s e
abscons	a b " s k o* s
absconse	a b " s k o s e
absconses	a b " s k o n e
absence	a j i n C i e
absences	a j i n C i m 3 s
absent	a b " o n t
absenta	a b " e nt~ a
absentai	a b " e n t a i
absentaient	a b " e n t 3
absentais	a b " e n t a i s
absentait	a b " e n t a i t
absentâmes	a b " w o  8 i m 3 s
absentant	a b " e n t a nt~
absentas	a b " e n t a s
absentasse	a b " e n t a s s e
absentassent	a b " e n t a s o n t
absentasses	a b " e n t a s e
absentassiez	a b " e n t a s s i e z
absentassions	a b " e n t a s s i o* s
absentât	a b " e n t o t
absentâtes	a b " w o  t e
absente	a b " e n t e
absenté	a b " e n t e
absentée	a b " e n t E e
absentées	a b " o n d i m 3 s
absentéisme	a b " o n d i i s m e
absentéismes	a b " o n d i i s 8 i m 3 s
absentéiste	a b " o n d i i s t e
absentéistes	a b " o n d i i s t i
absentent	a b " e n t e n t
absenter	a b " e n t e r
absentera	a b " e n t E r a
absenterai	a b " e n t e r a i n
absenteraient	a b " e n t e r a i n
absenterais	a b " e n t E r a i s
absenterait	a b " e n t E r a i t
absenteras	a b " e n t a a s
absentèrent	a b " w o t 3 7 r e n t
absenterez	a b " e n t e r a
absenteriez	a b " e n t E r i
absenterions	a b " e n t E r i o* s
absenterons	a b " e n t E r o* s
absenteront	a b " e n t E r o n s
absentes	a b " e n t e
absentés	a b " o n d i
absentez	a b " e n t e z
absentiez	a b " e n t i e z
absentions	a b " e n t i o* s
absentons	a b " e n t o* s
absents	a b " o n c
abside	a b " i d e
absides	a b " i d e
absidiole	a b " i d i o l e
absidioles	a b " i d i o l e
absinthe	a b " i nc~ e
absinthes	a b " s i n t h i
absolu	a b " s o l u
absolument	a b " s o l u m e n t
absolus	a b " s o l u s
absolution	a b " s o l u t i o n 3
absolutions	a b " s o l u t i o* s
absolutisme	a b " s o l u t i s m e
absolutismes	a b " s o l u t i s 8 i m 3 s
absolutiste	a b " s o l u t i s t e
absolutistes	a b " s o l u t i s t i
absorba	a b " s o r b a
absorbai	a b " s o r b a i
absorbaient	a b " s o r b a
absorbais	a b " s o r b a i s
absorbait	a b " s o r b a i t
absorbâmes	a b " s o r b o N 8 i m 3 s
absorbant	a b " s o r b a nt~ a y
absorbante	a b " s o r b a nt~ e
absorbantes	a b " s o r b a nt~ m 3 s
absorbants	a b " s o r b a n c
absorbas	a b " s o r a b a s
absorbasse	a b " s o r b a s s e
absorbassent	a b " s o r b a s o n t
absorbasses	a b " s o r b a s e
absorbassiez	a b " s o r b a s s i e z
absorbassions	a b " s o r b a s s i o* s
absorbât	a b " s o r b o t
absorbâtes	a b " s o r b o N t e
absorbe	a b " s o r b e
absorbé	a b " s o r b e
absorbée	a b " s o r b e
absorbées	a b " s o r b m 3 s
absorbent	a b " s o r mb~ E nt~ u
absorber	a b " s o r k
absorbera	a b " s o r k
absorberai	a b " s o r b e r a i n
absorberaient	a b " s o r b e r a i n
absorberais	a b " s o r k a i s
absorberait	a b " s o r k a i t
absorberas	a b " s o r k a s
absorbèrent	a b " s o r b e r e n t
absorberez	a b " s o r k m u
absorberiez	a b " s o r k e z
absorberions	a b " s o r k o* s
absorberons	a b " s o r k o* s
absorberont	a b " s o r k n t a 5 a
absorbes	a b " s o r b e sy~ s
absorbés	a b " s o r b
absorbez	a b " s o r b e z
absorbiez	a b " s o r a
absorbions	a b " s o r b i E o* s
absorbons	a b " s o r b o* s
absorption	a b " s o r p t i o n 3
absorptions	a b " s o r p t i c o* s
absoudre	a b " s o u d r e
abstenaient	a b " s t e n a i e n t
abstenais	a b " s t e n a i s
abstenait	a b " s t e n a i t
abstenant	a b " s t e n a nt~
abstenez	a b " s t e n e z
absteniez	a b " e z
abstenions	a b " s t e n i o* s
abstenir	a b " s t e n i r
abstenons	a b " s t e n o* s
abstention	a b " s t e n t i o n 3
abstentionnisme	a b " s t e n t i o n 3 n i S m e
abstentionnismes	a b " s t e n t i o n 3 n i S 8 i m 3 s
abstentionniste	a b " s t e n t i o n 3 n i S th~ E
abstentionnistes	a b " s t e n t i o n 3 n i S th~ m 3 s
abstentions	a b " s t e n t i o* s
abstenu	a b " s t e n u
abstenue	a b " s t e n u e
abstenues	a b " s t e n u e
abstenus	a b " s t e n u s
abstiendra	a b " s t i 3 n d r a
abstiendrai	a b " s t i 3 ndr$ a i
abstiendraient	a b " s t i 3 ndr$ a
abstiendrais	a b " s t i 3 ndr$ a i s
abstiendrait	a b " s t i 3 ndr$ a i t
abstiendras	a b " s t i 3 ndr$ a s
abstiendrez	a b " s t i 3 ndr$ e z
abstiendriez	a b " s t i 3 n d r i
abstiendrions	a b " s t i 3 ndr$ i o* s
abstiendrons	a b " s t i 3 ndr$ o* s
abstiendront	a b " s t i 3 n d r o n s
abstienne	a b " s t i 3 n
abstiennent	a b " s t i 3 n
abstiennes	a b " s t i 3 n i
abstiens	a b " s t i 3 n
abstient	a b " s t i 3 n t
abstinence	a b " s t i n i n C i e
abstinences	a b " s t i n i n C i m 3 s
abstinent	a b " s t i n e n t
abstinente	a b " s t i n e n t e
abstinentes	a b " s t i n e n t e
abstinents	a b " s t i n e n c
abstînmes	a b " s t 3 n 8 i m 3 s
abstinrent	a b " s t i n r e n t
abstins	a b " s t i n
abstinsse	a b " Sx~ nsw$ i e
abstinssent	a b " Sx~ nsw$ i o n t
abstinsses	a b " Sx~ nsw$ i e
abstinssiez	a b " Sx~ nsw$ i i e z
abstinssions	a b " Sx~ nsw$ i i o* s
abstint	a b " s t i n t
abstînt	a b " s t 3 n t
abstîntes	a b " s t 3 n t e
abstraction	a b " s t r a k t i o n 3
abstractions	a b " s t r a k t i o* s
abstraie	a b " s t r a i e
abstraient	a b " s t r a
abstraies	a b " s t r a i e
abstraira	a b " s t r a i r a
abstrairai	a b " s t r a i r a i
abstrairaient	a b " s t r a i r a
abstrairais	a b " s t r a i r a i s
abstrairait	a b " s t r a i r a i t
abstrairas	a b " s t r a i r a s
abstraire	a b " s t r a i r
abstrairez	a b " s t r a i r e z
abstrairiez	a b " s t r a i r i e z
abstrairions	a b " s t r a i r i o* s
abstrairons	a b " s t r a i r o* s
abstrairont	a b " s t r a i r o n s
abstrais	a b " s t r a i s
abstrait	a b " s t r a i t
abstraite	a b " s t r a i t e
abstraitement	a b " s t r a i t E m E n t
abstraites	a b " s t r a i t e
abstraits	a b " s t r a i c
abstrayaient	a b " s t r a y a x a i e n t
abstrayais	a b " s t r a y a x a i s
abstrayait	a b " s t r a y a 7 i t
abstrayant	a b " s t r a y a nt~
abstrayez	a b " s t r a y e z
abstrayiez	a b " s t r a y i e z
abstrayions	a b " s t r a y i o* s
abstrayons	a b " s t r a y o* s
absurde	a j g o e
absurdement	a b " s u r d E m E n t
absurdes	a j g o m 3 s
absurdité	a j g o a
absurdités	a j g o n n
Abu Dhabi	b u h a b i
abus	a b u s
abusa	a b u s a
abusai	a b u s a i
abusaient	a b u s e i e n t
abusais	a b u s e i s
abusait	a b u s a i t
abusâmes	a b u s  m 3 s
abusant	a b u s a nt~
abusas	a b u s a s
abusasse	a b u s a s s e
abusassent	a b u s a s o n t
abusasses	a b u s a s e
abusassiez	a b u s a s s i e z
abusassions	a b u s a s s i o* s
abusât	a b u s o t
abusâtes	a b u s a t i m 3 s
abuse	a b u s e
abusé	a b u s e
abusée	a b u s a j
abusées	a b u s e m 3 s
abusent	a b u s
abuser	a b u s e r
abusera	a b u s E r a
abuserai	a b u s e r a i n
abuseraient	a b u s e r a i n
abuserais	a b u s E r a i s
abuserait	a b u s E r a i t
abuseras	a b u s a a s
abusèrent	a b u s e r e n t
abuserez	a b u s u r
abuseriez	a b u s E r i
abuserions	a b u s e r i o* s
abuserons	a b u s E r o* s
abuseront	a b u s E r o n s
abuses	a b u e
abusés	a b u s e
abusez	a b u s e z
abusiez	a b u s e i
abusif	a b u s i f
abusifs	a b u s i f
abusions	a b u s i o* s
abusive	a b u s i v E
abusivement	a b u a Ng~ e r e p i N
abusives	a b u s i b e
abusons	a b u s o* s
abyssal	a b y 7 a l
abyssale	a b y 7 a l e
abyssales	a b y 7 a l e
abyssaux	a b y 7
abysse	a b " s e
abysses	a b y s e
acabit	a k a b i t
acabits	a k a b i c
acacia	a k a c i a
acacias	a k a i 3 s
académicien	a c a d 7 e m i C y e n
académicienne	a c a d 7 e m i C y e
académiciennes	a c a d 7 e m i C y e i
académiciens	a c a d 7 e m i C y e n
académie	a c a d 7 e m i E 5
académies	a c a d 7 e m i e
académique	a c a d 7 7 n w i k E
académiques	a c a d 7 7 n w i k e
académisme	a c a d 7 e m i s m e
académismes	a c a d 7 e m i s 8 i m 3 s
Acadie	k a d i e
acadien	a c a d 7 i e n
acadienne	a c a d 7 n e
acadiennes	a c a d 7 i e i
acadiens	a c a d 7
acajou	a k a x o u
acajous	a k a h u
acanthe	a k a nt~
acanthes	a k a nt~
acariâtre	a k a X t u N
acariâtres	a k a X t u N w a m i
acarien	a k a r i e n
acariens	a k a r i e n
accabla	a k k g a n u s
accablai	a k k a b l a y i n
accablaient	a k k g a n u s
accablais	a k k a b l a i s
accablait	a k k a b l a i t
accablâmes	a k k a b p  m 3 s
accablant	a k k a b nz~ i
accablante	a k k a b l a n t e
accablantes	a k k a b l a n t e
accablants	a k k a b l a n c
accablas	a k k a b l a
accablasse	a k k a b l a s s e
accablassent	a k k a b l a s o n t
accablasses	a k k a b l a s e
accablassiez	a k k a b l a s s i e z
accablassions	a k k a b l a s s i o* s
accablât	a k k a b l o t
accablâtes	a k k a b l a t i m 3 s
accable	a k k a b l e
accablé	a k k a b l e
accablée	a k k a b l a j
accablées	a k k a b l e m 3 s
accablement	a k k a b l E m E n t
accablements	a k k a b l E m E nt~ u
accablent	a k k a b l e n t
accabler	a k k a b l e r
accablera	a k k a b l e r a
accablerai	a k k a b l e r a i n
accableraient	a k k a b l e r a i n
accablerais	a k k a b l e r a i s
accablerait	a k k a b l e r a i t
accableras	a k k a b l a a s
accablèrent	a k k a b l e r e n t
accablerez	a k k a b l e r a
accableriez	a k k a b l e r i
accablerions	a k k a b l e r i o* s
accablerons	a k k a b l e r o* s
